Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
EBULHAYR maa NEVAHİ-İ PERŞEMBE ve YAKUBBEY	ابو الخير مع نواحيء پنچشنبه ويعقوب بک							Kaza	17. yy.				Ordu	Trabzon eyâleti																																																													
EBUT	ابوط							Nahiye	1881			Merkez	İşkodra	İşkodra vilâyeti																																																													
ECEÂBÂD	آجه آباد	Maydos						Kaza	1892				Gelibolu	Edirne vilâyeti	Kaza	1926					Çanakkale																																																						
EDE	اده							Nahiye	1865	1926`da lağvedildi. Köyleri Uzunk.prü`de.		Sofulu	Dedeağaç	Edirne vilâyeti																																																													
EDİNCİK	آيدينجق	Aydıncık						Kaza	~1530				Hudavendigâr	Anadolu eyâleti	Nahiye	1875			Bandırma	Karesi	Hudavendigâr vilâyeti	Nahiye	1924				Bandırma	Balıkesir																																															
EDİRNE	ادرنه						https://www.wikidata.org/wiki/Q43387	Kaza	1362				Çirmen	Rumeli eyâleti	Başşehir	1365					-	Sancak	1453					Rumeli eyâleti	Eyâlet merkezi					Rumeli eyâleti	Eyâlet	1846				Edirne eyâleti	Vilâyet	1865			Edirne vilâyeti																														
EDREMİT	ادرميد							Kaza	~1530				Karesi	Anadolu eyâleti	Kaza	1867				Karesi	Hudavendigâr vilâyeti	Kaza	1924					Balıkesir																																															
EDREMİT	ادرميد	Gümüşdere	Sarmansuyu					Nahiye					Merkez	Van	Kaza	~1990					Van																																																						
EDREPOL	ادره پول	Etrepole						Kasaba					Sofya	Bulgaristan																																																													
EFAMİYE	افاميه							Nahiye	1517				Halep	Arap vilâyeti	Antik şehir				Cisr-i Şugûr	Halep	Suriye vilâyeti																																																						
EFES	افس	Efsus						Antik şehir		Yerine kurulan “Ayasluğ” şehri sonra Selçuk adını aldı. Buraya bir müddet “Akıncılar” denildiyse de 1957’de yine “Selçuk” adıyla kaza oldu.			Selçuk	İzmir																																																													
EFLAK	افلاک	Bükreş				1394’te Osmanlı ülkesine katıldı. 16. yy.da muhtariyet hakkını Osmanlı’ya devretti. 1866’da kurulan Romanya Krallığına 1878 Berlin antlaşmasıyla bağımsızlık verilmesiyle Osmanlı’nın buradan ilgisi kesildi.		Eyâlet	1562					Eflâk eyâleti	Eyâlet	1878					Romanya																																																						
EFLANİ	افلانی	Eflâni-i Bolu	Çelebiler					Kaza	1811				Viranşehir	Kastamonu eyâleti	Nahiye	1865			Safranbolu	Bolu	Kastamonu vilâyeti	Nahiye	1924				Safranbolu	Zonguldak	Kaza	1953				Zonguldak	Kaza	1995				Karabük																																			
EFLANİ-İ DADAY	افلانیء طاطای							Kaza		İkisi aynı bir Eflâni olabilir.			Kastamonu	Kastamonu eyâleti																																																													
EFLATAR	افلاطار							Kaza					Ruscuk	Silistre eyâleti																																																													
Efsus	افسوس	Yarpuz	AFŞİN			1945’te “Afşin” denmiştir.		Nahiye	16. yy.			Elbistan	Maraş	Zülkadriye eyâleti	Nahiye	1865			Elbistan	Maraş	Halep vilâyeti	Nahiye	1924				Elbistan	Maraş	Kaza	1944				Kahramanmaraş																																									
EFTENİ maa GÜMÜŞ	افتنی مع کموش							Kaza	~1841				Bolu	Kastamonu eyâleti	Köy		Gölyaka bucağında “Efteni” önekli halen dört köy var. Bu civarda “Madenler” adında meskûn mahal de vardır. Gümüş denilen yer olabilir.		Gölyaka	Düzce	Bolu																																																						
EĞERCİ	اکرجی							Nahiye	1865			Tonus	Sivas	Sivas vilâyeti	Kasaba				Merkez	Gemerek	Sivas																																																						
EĞERSEK	اکرسک	Egerszek						Sancak	17. yy.					Kanije eyâleti																																																													
EĞİL	اکيل							Sancak	1597					Diyarbakır eyâleti	Kaza	1834				Maadin	Harput eyâleti	Nahiye	1867			Merkez	Erganimadeni	Diyarbakır vilâyeti	Nahiye	1924			Merkez	Diyarbakır	Kaza	~1990				Diyarbakır																																			
Eğin	اکين	KEMALİYE						Nahiye	~1530			Merkez	Arapkir	Diyarbakır eyâleti	Kaza	1846				Malatya maa Harput	Harput eyâleti	Kaza	1870				Malatya	Diyarbakır vilâyeti	Kaza	1884			Mamûretülaziz	Mamûretülaziz vilâyeti	Kaza	1926				Malatya	Kaza	1938			Erzincan																														
EĞİRDİR	اکردير	Felekâbâd				Daha önce Hamitoğulları beyliğinin merkezi idi.		Sancak	1381					Anadolu eyâleti	Kaza	1402				Hamid	Anadolu eyâleti	Kaza	~1530				Hamid	Karaman eyâleti	Kaza	1865			Hamid	Konya vilâyeti	Kaza	1924				Isparta																																			
EĞRİ	اکری	Eger, Erlau						Eyâlet	1596-1687					Eğri eyâleti																																																													
EĞRİ PALANKA	اکری پلانقه	Palanka						Kaza	1877				Üsküb	Kosova vilâyeti																																																													
EĞRİBUCAK maa KOZANİ	اکری بوجاق مع قوزانی							Kaza	1836				Manastır	Rumeli eyâleti																																																													
EĞRİDERE	اکری دره	Ardino						Kaza	1865				Gümülcine	Edirne vilâyeti	Kaza	1913				Kırcaali	Bulgaristan																																																						
Eğrigöz	اکری کوز	EMET						Kaza	~1530				Kütahya	Anadolu eyâleti	Nahiye	1841			Merkez	Kütahya	Hudavendigâr eyâleti	Kaza	1922	Voyvoda Nasuhoğlu’nun isyanı üzerine nahiye yapılmıştır. Eğrigöz şimdi Emet’in bir k.yüdür.)				Kütahya																																															
Eğriköy	اکری کوی	ÜÇPINAR						Nahiye					Merkez	Manisa																																																													
EHLUNE	اهلونه	Livni						Kaza	1866				Travnik	Bosna vilâyeti																																																													
EKİNÖZÜ	اکين اوزی	Celâ						Kasaba				Merkez	Elbistan	Kahramanmaraş	Kaza	~1990					Kahramanmaraş																																																						
EKRAD-I ÇORUM maa KATASARAY ve TAHTATTARİK ve FEVKATTARİK	اکراد چورم مع قطا سرای و تحت الطريق وفوق الطريق							Kaza	1847	Ekrad-ı Çorum’un Karahisar-ı Timurcu olduğu, Karahisarın da Kâmil nahiyesi olduğu tesbit edildi. Katasaray belirlenemedi.)			Çorum maa Amasya	Sivas eyâleti																																																													
Ekrek	اکرک	KÖPRÜBAŞI						Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Köy				Elbaşı	Bünyan	Kayseri																																																						
EKSANOS	اکسانوس							Nahiye	~1530			Hemşin	Trabzon	Rum eyâleti																																																													
Eksi	اکسی	SUGÖZÜ						Nahiye	1867			Koyulhisar	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Koyulhisar	Sivas																																																						
EL-A’LÂ	الاعلا							Sancak	1569					Yemen eyâleti	Kaza	19. yy.				Taizz	Yemen eyâleti																																																						
EL-ARİŞ	العريش							Muhafızlık						Mısır																																																													
EL-BECCE	البجه							Kaza merkezi	1879			Gülanber	Süleymaniye	Musul vilâyeti																																																													
EL-BEDÂ’	البداع							Kaza merkezi	1875			Katar	Necd-i Şarkî	Basra																																																													
EL-BEDİR	البدير							Nahiye				Merkez	Divaniye	Bağdad vilâyeti																																																													
EL-EZİREÇ	الازيرچ							Nahiye merkezi	1884		Beni Esed	Nasıriye	Müntefik	Basra																																																													
EL-FEYYÛM	الفيوم	Feyyûm	Medinetülfeyyüm					Sancak		Müdiriyet				Mısır eyâleti																																																													
EL-HUDEYDE	الحديده	Hudeyde						Sancak	1856					Yemen eyâleti																																																													
EL-HUFÛF	الحفوف						https://www.wikidata.org/wiki/Q27136	Sancak merkezi	~1609				El-Ahsâ	El-Ahsâ eyâleti	Sancak merkezi	1875				Necd-i Şarkî	Basra vilâyeti																																																						
EL-HUMS	الخمس	Humus						Sancak	1878					Trablusgarb eyâleti	Sancak	1881					Bingazi vilâyeti	Sancak						Libya																																															
EL-KÂİM	القاءم							Nahiye	1867			Ana	Bağdad	Bağdad vilâyeti																																																													
EL-LUHEYYE	اللحيه	Luheyye						Sancak	17. yy.					Yemen eyâleti	Kaza	1868				Hudeyde	Yemen vilâyeti																																																						
EL-VÂHÂT	الواحات							Sancak	17. yy.					Mısır eyâleti	Kaza	1786				Mansure	Mısır eyâleti	Kaza	1876				İskenderiye	Mısır eyâleti	Kaza				Asyût (siyût)	Mısır hidiviyeti																																									
EL-VECH	الوجه							Kaza	1902				Medine	Hicaz	Kaza					Medine	S. Arabistan																																																						
EL-VESİM	الوسيم							Nahiye	1871			Mahail	Asir	Yemen vilâyeti																																																													
ELÂZIĞ	العزيز	Mam.retülaziz	Elaziz	Mezraa				Sancak	1867					Diyarbakır vilâyeti	Müstakil sancak	1871					Mamûretülaziz sancağı	Vilâyet	1877					Mamûretülaziz vilâyeti	Vilâyet	1924				Elâzığ																																									
Elbak	الباق	BAŞKALE					https://www.wikidata.org/wiki/Q812759	Sancak	~1578					Van eyâleti	Kaza	17. yy.				Hakkâri	Van eyâleti	Kaza	~1846				Van maa Hakkârî	Ezrurum eyâleti	Sancak merkezi	1882			Hakkâri	Van vilâyeti	Kaza	1924				Van																																			
ELBASAN	ايلبصان							Sancak	17. yy.					Rumeli eyâleti	Sancak	1889					Manastır vilâyeti	Sancak	1913					Arnavutluk																																															
ELBAŞI	ايلباشی	Zamantı						Kaza	1846				Kayseri	Bozok eyâleti	Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Nahiye	1911				Bünyan	Kayseri																																															
ELBEYLİ	ايلبکلی	Çobanbey	Alimantar					Nahiye	1865			Bab	Halep	Halep vilâyeti	Nahiye	1924				Kilis	Gaziantep	Nahiye	1946					Oğuzeli Gaziantep	Kaza	1995				Kilis																																									
ELBİSTAN	البستان						https://www.wikidata.org/wiki/Q117181	Eyâlet merkezi	16. yy.					Zülkadriye eyâleti	Kaza	~1530				Maraş	Zülkadriye eyâleti	Kaza	1848				Maraş	Adana eyâleti	Kaza	1866			Maraş	Halep vilâyeti	Kaza	1924				Kahramanmaraş																																			
ELBUHABUR	البوخابور							Nahiye	1865			Merkez	Zor	Halep vilâyeti																																																													
ELBUKEMAL	البوکمال							Kaza	1882					Zor sancağı																																																													
ELBUSRİ	البوسری							Nahiye	1865			Merkez	Zor	Halep vilâyeti																																																													
ELDİVAN	الديوان							Nahiye					Merkez	Çankırı	Kaza	1960					Çankırı																																																						
ELEKSANDROPOL	الکساندروپول							Kaza					Erivan	Rusya	Kaza					Erivan	Ermenistan																																																						
Elemi	اله می	KÖPRÜBAŞI						Nahiye					Vezirköprü	Samsun																																																													
ELENA	النه							Kaza	1855				Tırnova	Vidin eyâleti	Kaza	1908				Tırnova	Bulgaristan																																																						
ELEŞKİRT	الشکرد	Toprakkale						Sancak	1609					Van eyâleti	Sancak	1732					Erzurum eyâleti	Kaza	1845				Bayazıt	Erzurum eyâleti	Kaza	1865			Bayazıt	Erzurum vilâyeti	Kaza	1938				Ağrı																																			
Elige	اليکه	YAYLÂÇAYI						Nahiye	~1530			Merkez	Karahisar-ı Şarkî	Rum eyâleti	Köy				Gölova	Suşehri	Sivas																																																						
ELKERİMLÜHAS	الکريملوخاص							Nahiye	~1530			Kürtün	Trabzon	Rum eyâleti																																																													
ELKİ	الکی							Kaza merkezi	1855			Beytüşşebab	Hakkâri	Van eyâleti																																																													
ELMADAĞ	الماطاغ	Asi Yozgat						Nahiye					Çankaya	Ankara	Kaza	1960					Ankara																																																						
ELMALI	المالو						https://www.wikidata.org/wiki/Q1013462	Sancak merkezi					Teke	Anadolu eyâleti	Kaza	~1530				Teke	Anadolu eyâleti	Kaza	~1846				Teke	Karaman eyâleti	Kaza	1865			Teke	Konya vilâyeti	Kaza	1924				Antalya																																			
ELMALI	المالو							Nahiye	~1530			Ordu	Canik	Rum eyâleti	Kaza	1847				Ordu	Trabzon eyâleti	Köy				Kovanlık	Bulancak	Giresun																																															
ELMALIDERE	المالو دره	Mollaosman						Nahiye	1865			Tutak	Bayazıt	Erzurum vilâyeti	Nahiye	1937				Karayazı	Erzurum																																																						
ELMEDİN	المدين							Kaza merkezi	1926 yılına kadar				Beşiri	Diyarbakır																																																													
