	Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14	wikidata_json	lat	lon
421	AŞİRET-İ BULACALU	عشيرت بولاجلو							Kaza	19. yy.				İçil	Karaman eyâleti	Nahiye	1870			Silifke	İçil	Adana vilâyeti	Köy		Bulacalıkoyuncu K.yü.		Taşucu	Silifke	İçel																																																		
422	AŞİRET-İ ÇAKALLU ve ATMALU maa BEHİSNİ	عشيرت چقاللووآطمالومع بهسنی							Kaza	1846				Besni	Harput eyâleti																																																																
423	AŞİRET-İ CELÂLLI, HAYDARANLI, ZİLANLI maa DİYADİN	عشيرت جلاللی، حيدارانلی مع ديادين							Kaza	1845				Bayazıt	Erzurum eyâleti																																																																
424	AŞİRET-İ CELİKANLI	عشيرت جليکانلو							Kaza		Lağvedildi. Köyleri halen Islahiye’nin Fevzipaşa bucağına bağlı.			Maraş	Adana eyâleti																																																																
425	AŞİRET-İ CİHANBEYLİ	عشيرت جهانبکلو							Kaza	1849				Ankara	Bozok eyâleti	Nahiye	1965			Akşehir	Konya	Konya vilâyeti	Kaza	1926					Konya																																																		
426	AŞİRET-İ CUBUR	عشيرت جبور							Nahiye	1855			Merkez	Musul	Van eyâleti																																																																
427	AŞİRET-İ EBU SÜLEYMAN	عشيرت ابوسليمان							Nahiye	1855			Merkez	Musul	Van eyâleti																																																																
428	AŞİRET-İ GERGERİ	عشيرت کرکری							Nahiye	1855			Merkez	Musul	Van eyâleti																																																																
429	AŞİRET-İ HACILU	عشيرت حاجلو							Kaza	19. yy.				Adana	Adana eyâleti	Köy				Merkez	Karaisalı	Adana																																																									
430	AŞİRET-İ HADİDİ	عشيرت حديدی							Nahiye	19. yy.			Merkez	Muş	Van eyâleti																																																																
431	AŞİRET-İ HARAMEYN-İ ŞERİFEYN	عشيرت حرمين شريفين (قيلدونلی جماعتلری)	Kıldonlu Cemaatleri						Kaza	1847				Karesi	Hudavendigâr eyâleti																																																																
432	AŞİRET-İ HAYDARANLI maa VARTO	عشيرت حيدرانلی مع وارطو							Kaza	1855				Muş	Erzurum eyâleti																																																																
433	AŞİRET-İ HAYRİLLÜ	عشيرت خيرايللو							Kaza	19. yy.				İçil	Karaman eyâleti																																																																
434	AŞİRET-İ HEMVEND maa BAZYAN	عشيرت هموند مع بازيان							Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																																
435	AŞİRET-İ HERKİYAN	عشيرت هرکيان							Kaza	1855				Musul	Van eyâleti																																																																
436	AŞİRET-İ HORZUM	عشيرت خوارزوم							Kaza	1842				Kütahya	Hudavendigâr eyâleti																																																																
437	AŞİRET-İ İREMLÜ	عشيرت ارملو							Kaza	19. yy.				İçil	Karaman eyâleti																																																																
438	AŞİRET-İ İSMAİL	عشيرت اسماعيل							Nahiye	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																																
439	AŞİRET-İ İZOLU	عشيرت ايزولی							Kaza		Baskilin Kuşsarayı ve Malatya’nın Kale bucağı bölgelerinde idi.			Malatya maa Mamûretülaziz	Harput eyâleti																																																																
440	AŞİRET-İ JERGERİ maa AKRA	عشيرت ژرکری مع عقره							Kaza		Aşiret-i Gergeri ile aynı ad olabilir.			Musul	Van eyâleti																																																																
441	AŞİRET-İ JİRİ	عشيرت ژيری							Nahiye	1855			Merkez	Musul	Van eyâleti																																																																
442	AŞİRET-İ KABALU	عشيرت قبالو							Kaza	1846				Üzeyir	Adana eyâleti																																																																
443	AŞİRET-İ KARABÖCÜLÜ	عشيرت قره بوجيلو							Kaza	19. yy.				İçil	Karaman eyâleti	Köy				Merkez	Silifke	İçel																																																									
444	AŞİRET-İ KARAHACILI	عشيرت قره حاجلو							Kaza	19. yy.				İçil	Karaman eyâleti	Köy				Merkez	Anamur	İçel																																																									
445	AŞİRET-İ KARAULUS	عشيرت قره اولوس							Kaza	1855				Bedre	Bağdad maa Şehrizor eyâleti																																																																
446	AŞİRET-İ KAVİLLÜ maa BARİKLÜ	عشيرت کاويللو مع بارکلو							Kaza	19. yy.				Sivas	Sivas eyâleti																																																																
447	AŞİRET-İ KENİZ	عشيرت کنيز							Kaza	1846				Teke	Karaman eyâleti																																																																
448	AŞİRET-İ KEŞLÜ	عشيرت کشلو							Kaza	1846				İçil	Karaman eyâleti																																																																
449	AŞİRET-İ KILINÇLU	عشيرت قلينچلو							Kaza	1848				Maraş	Adana eyâleti																																																																
450	AŞİRET-İ KIPTIYAN	عشيرت قبطيان							Kaza	19. yy.				İçil	Karaman eyâleti	Kasaba		Bozyazı kasabası ile Kalınören k.yü, yeni adı bulunamıyan daha birkaç köy		Merkez	Anamur	İçel																																																									
451	AŞİRET-İ KOÇKÖPRÜ	عشيرت کوچ کوپری					“Koçkiri” olması muhtemeldir.		Kaza	1857				Dersim	Harput eyâleti																																																																
452	AŞİRET-İ KÜÇÜKLÜ	عشيرت کوچکلی							Kaza	19. yy.				Niğde	Karaman eyâleti																																																																
453	AŞİRET-İ KÜRTÇÜ	عشيرت کوردجی							Kaza	1846				İçil	Karaman eyâleti																																																																
454	AŞİRET-İ MAMALU	عشيرت ممالو							Kaza	1846				Bozok	Bozok eyâleti																																																																
455	AŞİRET-İ MEMİKİ maa BULANIK	عشيرت ممکی مع بولانق							Kaza	1855				Muş	Erzurum eyâleti																																																																
456	AŞİRET-İ MENDEMİ	عشيرت مندمی							Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																																
457	AŞİRET-İ MENEMENCİ maa KARAİSALU	عشيرت منمنجی مع قره عيسالو							Kaza	19. yy.				Adana	Adana eyâleti																																																																
458	AŞİRET-İ MENKUŞ, MAMEŞ ve REMEK	عشيرت منکوش مامش ورمک							Nahiye	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																																
459	AŞİRET-İ MUHACİRİN-İ ACEM	عشيرت مهاجرين عجم							Kaza	19. yy.				Niğde	Karaman eyâleti																																																																
460	AŞİRET-İ NADİRLÜ	عشيرت نادرلو							Kaza	1848				Maraş	Adana eyâleti																																																																
461	AŞİRET-İ NALLU	عشيرت نعللو							Kaza	1849				Kengırı	Bozok eyâleti																																																																
462	AŞİRET-İ NİRVE	عشيرت نيروه							Nahiye	1855			Merkez	Musul	Van eyâleti																																																																
463	AŞİRET-İ OKÇU İZZEDDİNLÜ	عشيرت اوقجی عزالدينلو							Kaza		Köylerinin bir kısmı Kilis’in Musabeyli bucağında.			Kilis	Halep eyâleti																																																																
464	AŞİRET-İ PERVARİ JURİ	عشيرت پرواری ژوری							Nahiye	1855			Merkez	Musul	Van eyâleti																																																																
465	AŞİRET-İ RİŞVANİ ALYATLU	عشيرت رشوانی آلياطلو							Kaza	1846				Besni	Harput eyâleti																																																																
466	AŞİRET-İ SAĞCI maa BADILLU	عشيرت ساغجی مع بادللو							Kaza	19. yy.				Sivas	Sivas eyâleti																																																																
467	AŞİRET-İ SANDALLU	عشيرت صنداللو							Kaza	19. yy.				İçil	Karaman eyâleti																																																																
468	AŞİRET-İ SARAÇLU	عشيرت سراجلو							Kaza	1842				Kütahya	Hudavendigâr eyâleti																																																																
469	AŞİRET-İ SARI KARAMAN	عشيرت صاری قرمان (بوينی اينجه)	Boynu ince						Kaza	19. yy.				Niğde	Karaman eyâleti	Köy		Sarıkaraman k.yü.		Balcı	Ortaköy	Niğde																																																									
470	AŞİRET-İ SERÇE	عشيرت سرچه							Kaza	1855				Revandiz	Bağdad maa Şehrizor eyâleti																																																																
471	AŞİRET-İ ŞEREFLÜ	عشيرت شرفلو							Kaza	19. yy.				Niğde	Karaman eyâleti																																																																
472	AŞİRET-İ SİN VE EKÜ ve HOŞNAV	عشيرت سن واکوخوشناو							Kaza	1850				Kerkük	Bağdad maa Şehrizor eyâleti																																																																
473	AŞİRET-İ SİNAMENLÜ	عشيرت سينامنلو							Kaza	1848				Maraş	Adana eyâleti																																																																
474	AŞİRET-İ ŞUHUTLU	عشيرت شهودلی							Kaza	1842				Kütahya	Hudavendigâr eyâleti																																																																
475	AŞİRET-İ SÜRÜCÜ	عشيرت سوريجی							Nahiye	19. yy.				Merkez	Van eyâleti																																																																
476	AŞİRET-İ TABANLI	عشيرت طبانلی	Tabanlı						Kaza					Ankara	Ankara eyâleti	Kaza	1849				Ankara	Bozok eyâleti	Nahiye		1912 yılında Tabanlı nahiyesi mevcuttu.			Bâlâ	Ankara eyâleti																																																		
477	AŞİRET-İ TABANLI maa BOZULUS	عشيرت طبانلی مع بوزالوس							Kaza					Ankara	Bozok eyâleti	Kaza	1841				Ankara	Ankara eyâleti																																																									
478	AŞİRET-İ TATAR	عشيرت تاتار							Kaza	19. yy.				İçil	Karaman eyâleti																																																																
479	AŞİRET-İ YELLÜ	عشيرت يللو							Kaza	19. yy.				Sivas	Sivas eyâleti																																																																
480	AŞİRET-İ YENİ İL	عشيرت يگی ايل							Kaza	1849				Ankara	Bozok eyâleti	Sancak	19. yy.					Sivas eyâleti																																																									
481	AŞİRET-İ ZİBAR	عشيرت زيبار							Nahiye	1855			Merkez	Musul	Van eyâleti																																																																
482	AŞİRETİ ÇAKALLU	عشيرت چقاللو							Kaza	1848				Maraş	Adana eyâleti	Nahiye		Lağvedildi. Bilinen dört k.yünden ü.ü Türkoğlu’na, biri merkeze bağlı.		Merkez	Maraş	Harput eyâleti																																																									
483	Asiyozgat	عاصی يوزغاد	ELMADAĞ						Nahiye					Merkez	Ankara	Kaza	1960					Ankara																																																									
484	ASKALAN	عسقلان							Kasaba				Yafa	Kudüs	Filistin																																																																
485	AŞKALE	آش قلعه	Aşkal’ası						Köy			Merkez	Soğik	Bayburt	Rum eyâleti	Nahiye	1865			Merkez	Erzurum	Erzurum vilâyeti	Nahiye	1924				Merkez	Erzurum	Kaza	1934				Erzurum																																												
486	ASLANAPA	آرسلان آپه	Gireği						Nahiye	~1530			Merkez	Kütahya	Anadolu eyâleti	Nahiye	1924				Merkez	Kütahya	Kaza	1990					Kütahya																																																		
487	ASMACA	آصمه جه							Kaza merkezi	1943				Feke	Adana																																																																
488	ASNUİLİ	آصنوايلی							Nahiye		Pütürge yöresinde (Doğanyol bucağına bağlı Behramlı köyü o zaman “Asnuili’ne bağlı idi.			Gerger	Kâhta Rum eyâleti																																																																
489	ASOPOS	آسوپوس							Nahiye	16. yy.			Epidaros	Lakonya	Mora	Nahiye	1827			Epidaros	Lakonya	Yunanistan																																																									
490	ASPİNZE	آسپينزه							Sancak	1578					Çıldır eyâleti	Kasaba						Gürcistan																																																									
491	AŞTAĞUL	آشتاغول	Aştavul						Nahiye	~1530			Merkez	Amasya	Rum eyâleti	Köy				Merkez	Ortaköy	Çorum																																																									
492	ASTARA	آستاره							Kasaba				Lenkoran	Bakü	Azerbaycan																																																																
493	ASTROPALYA	آستروپاليا							Nahiye				Kaliminos	Sakız	Yunanistan																																																																
494	ASTUN	آستون					Halen İran’ın Urmiye=Rezaiye kentine bağlı		Sancak	1732					Van eyâleti																																																																
495	Aşudi	آشودی	GÜNPINAR						Nahiye	~1530			Sivas	Sivas-Tokat	Rum eyâleti	Kaza	17. yy.				Sivas	Sivas eyâleti	Nahiye	1865				Darende	Sivas vilâyeti	Köy	1865		Merkez	Darende	Malatya																																												
496	ASVAN	آصوان	El-Fantine						Müdiriyet	17. yy.					Mısır eyâleti	Kaza	1697-1698				Circa	Mısır eyâleti																																																									
497	ASYAGO	آسياغو							Kasaba				Viçence	Venedik	İtalya																																																																
498	ATABEY	آتابک	Ağrus						Nahiye	~1530			Eğirdir	Hamid	Anadolu eyâleti	Nahiye	1865			Merkez	Hamid	Konya vilâyeti	Nahiye	1924				Merkez	Isparta	Kaza	1960				Isparta																																												
499	ATABEY	آتابک							Nahiye		Manavgat-Serik- Akseki arasında idi.		Manavgat	Alâiye	Anadolu eyâleti																																																																
